type_donnee;date;territoire;indicateur;valeur;unite;source;statut
observation;2026-07-24;France;surface_brulee_depuis_le_1er_janvier;50000;ha;Ministere_de_l_Interieur;minimum_annonce
observation;2026-07-24;France;feux_en_cours;32;nombre;Ministere_de_l_Interieur;instantane
observation;2026-07-01;France;part_des_departs_de_feu_lies_a_une_imprudence;50;pourcent;Ministere_de_l_Interieur;ordre_de_grandeur
reference;2023-12-31;Union_europeenne;surface_brulee;504002;ha;JRC_EFFIS;annee_complete
reference;2023-12-31;Union_europeenne;emissions_estimees_des_feux;20;MtCO2;JRC_EFFIS;estimation_modelee
facteur;2026-07-25;France;voiture_thermique_moyenne_diesel;0.142;kgCO2e_par_km;Impact_CO2_ADEME;cycle_de_vie_hors_infrastructures
facteur;2026-07-25;France;TGV;0.00293;kgCO2e_par_km;Impact_CO2_ADEME;par_passager_km
facteur;2026-07-25;France;avion_moyen_long_courrier;0.167;kgCO2e_par_km;Impact_CO2_ADEME;par_passager_km
facteur;2026-07-25;France;repas_avec_boeuf;4.97;kgCO2e_par_repas;Impact_CO2_ADEME_Agribalyse;repas_type
